x,y,b0,b1,SCE,MSE,Écart-type,R2,Interprétation
Données 1,Données 2,51.42954110056908,0.5287947716450404,264565.7284677516,9798.7306839908,98.98853814452863,0.20000937107665673,Mauvais ajustement
Données 1,Données 3,83.12492793708665,0.34199253991776657,119625.54542104219,4430.575756334896,66.56257023534245,0.1878356357839298,Mauvais ajustement
Données 1,Données 4,-1.9445155071925981,0.08700045393731586,60.07740277884278,2.225088991808992,1.49167321884151,0.9675353859208623,Bon ajustement
Données 1,Données 5,70.94464058048,-0.011273942861041242,16317.882225278274,604.3660083436398,24.583856661306008,0.0018391329649719568,Mauvais ajustement
Données 1,Données 6,25.298213376194504,-0.040954854374168556,3451.4599391893094,127.83184959960406,11.306274788788926,0.10310383665733036,Mauvais ajustement
Données 1,Données 7,0.05445807552152715,0.06704065231696078,293.1158036250262,10.856140875000971,3.294865835660228,0.7838828586382509,Bon ajustement
Données 1,Données 8,-14.105189112851406,0.29560400922568564,1668.8018187521884,61.80747476859957,7.861773004138415,0.9252966004399081,Bon ajustement
Données 1,Données 9,-0.5759433922382904,0.09179431770772445,1593.7405372145506,59.027427304242615,7.682930905861553,0.5556855705598626,Mauvais ajustement
Données 2,Données 3,184.8990169170502,0.003976776266810726,147287.05540508198,5455.076126114147,73.85848716372512,3.5508391637684156e-05,Mauvais ajustement
Données 2,Données 4,16.56270232007941,0.03615619740955225,1418.2215286756748,52.52672328428425,7.247532220299835,0.23362175331262935,Mauvais ajustement
Données 2,Données 5,60.82060730953786,0.03208902552702537,16007.41328514189,592.8671587089589,24.348863602003252,0.020830442143188188,Mauvais ajustement
Données 2,Données 6,9.91555227920614,0.014731060140011801,3776.461235290314,139.868934640382,11.82661974701064,0.018649020234673963,Mauvais ajustement
Données 2,Données 7,16.45571718773135,0.017674879204889776,1252.9674937102604,46.406203470750384,6.8122098815839776,0.07617484417091691,Mauvais ajustement
Données 2,Données 8,56.404202100594134,0.0865454475310251,19861.9709719236,735.628554515689,27.122473237440737,0.11088498532677538,Mauvais ajustement
Données 2,Données 9,26.284785550882006,0.003240249326946534,3583.4933107557176,132.721974472434,11.520502353301874,0.0009680066532480325,Mauvais ajustement
Données 3,Données 4,17.056708600989815,0.03823690670242936,1635.2000335389434,60.56296420514605,7.782221032915093,0.1163709552083041,Mauvais ajustement
Données 3,Données 5,85.47855713950025,-0.09646290719891346,14977.379939703753,554.7177755445834,23.552447336626898,0.08383733010594219,Mauvais ajustement
Données 3,Données 6,32.149148788905364,-0.1030438918883567,2284.270978811382,84.602628844866,9.197968734718879,0.4064094867019805,Mauvais ajustement
Données 3,Données 7,9.28445434724502,0.05860253308020246,850.4425235538238,31.497871242734213,5.61229643218658,0.3729604313043191,Mauvais ajustement
Données 3,Données 8,43.59553085473296,0.16685472498983428,18238.34371807398,675.4942117805177,25.99027148339389,0.18356615939912602,Mauvais ajustement
Données 3,Données 9,6.372581830186348,0.11087297902541557,1776.3283354648524,65.78993835055009,8.111099700444452,0.5047824332498825,Mauvais ajustement
Données 4,Données 5,68.8798955613577,-0.05454891704164046,16342.441807216346,605.2756224894943,24.60234993835943,0.00033682934107714946,Mauvais ajustement
Données 4,Données 6,22.644516971279373,-0.3987881703783926,3553.9301651680134,131.62704315437088,11.47288294869127,0.07647593016082821,Mauvais ajustement
Données 4,Données 7,3.430809399477809,0.692844029995923,467.9571130526687,17.33174492787662,4.163141233236823,0.6549706556176802,Mauvais ajustement
Données 4,Données 8,-5.6109660574412175,3.319608929011984,1946.3334240177567,72.08642311176877,8.490372377685725,0.9128729835875429,Bon ajustement
Données 4,Données 9,3.762402088772852,0.960448671746485,1879.9037907828351,69.6260663252902,8.344223530400548,0.475906924182363,Mauvais ajustement
Données 5,Données 6,-3.9453637775909876,0.2509649107079766,2818.5777533369683,104.39176864210994,10.217229009966935,0.2675645617823086,Mauvais ajustement
Données 5,Données 7,20.931269323051193,-0.011283014529926253,1354.2008702471364,50.15558778693098,7.082060984412022,0.0015344881171868163,Mauvais ajustement
Données 5,Données 8,81.45507412614259,-0.10166750862968142,22170.057474174235,821.1132397842309,28.65507354351461,0.0075642037579914945,Mauvais ajustement
Données 5,Données 9,30.12392555851678,-0.04674824743377056,3551.2387333431066,131.52736049418914,11.468537853370373,0.0099601693204312,Mauvais ajustement
Données 6,Données 7,22.89448790477442,-0.2094888662561836,1187.400380069352,43.977791854420445,6.631575367468913,0.12451811666652601,Mauvais ajustement
Données 6,Données 8,86.06991755629866,-0.8826599764979088,19340.92464617381,716.3305424508819,26.764352083524866,0.13420946365872544,Mauvais ajustement
Données 6,Données 9,32.58110300328194,-0.4316246676256992,2870.0414093978607,106.29782997769854,10.310083897704157,0.1998692500380883,Mauvais ajustement
Données 7,Données 8,7.700024763437995,3.3162921556852423,7422.924140996001,274.92311633318525,16.580805659954684,0.6677150864901948,Mauvais ajustement
Données 7,Données 9,1.1265200657578553,1.2811265482869243,1360.919786037794,50.4044365199183,7.099608194817394,0.6205930111409506,Mauvais ajustement
Données 8,Données 9,4.476549475790016,0.3015164425344843,1556.07552575359,57.63242687976259,7.59160239210159,0.5661860928759866,Mauvais ajustement
